URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.et/surveillance/CodeSystem/chlamydia-trachomatis-test-type-cs,0.1.0,active,,ChlamydiaTrachomatisTestTypeCS,Chlamydia trachomatis Test Type Code System,"Codes for Chlamydia trachomatis test types","ValueSet/chlamydia-trachomatis-test-type-vs"
http://fhir.et/surveillance/CodeSystem/counselling-provided-cs,0.1.0,active,,CounsellingProvidedCS,Counselling Provided,"Types of counselling provided to client","ValueSet/counselling-provided-vs"
http://fhir.et/surveillance/CodeSystem/follow-up-type-cs,0.1.0,draft,,FollowUpTypeCS,Follow-Up Type Codes,"Code system of Follow-Up Type codes.","ValueSet/follow-up-type-vs"
http://fhir.et/surveillance/CodeSystem/gonorrhoea-specimen-type-cs,0.1.0,draft,,GonorrhoeaSpecimenTypeCS,Gonorrhoea Specimen Types,"Code system of Gonorrhoea Specimen Types codes.","ValueSet/gonorrhoea-specimen-type-vs"
http://fhir.et/surveillance/CodeSystem/gonorrhoea-test-result-cs,0.1.0,draft,,GonorrhoeaTestResultCS,Gonorrhoea Test Result Codes,"Code system of Gonorrhoea Test Result codes.","ValueSet/gonorrhoea-test-result-vs"
http://fhir.et/surveillance/CodeSystem/hsv-test-type-cs,0.1.0,active,,HSVTestTypeCS,Herpes Simplex Virus Test Type Code System,"Codes for Herpes simplex virus (HSV) test types","ValueSet/hsv-test-type-vs"
http://fhir.et/surveillance/CodeSystem/ipv-enquiry-result-cs,0.1.0,active,,IPVEnquiryResultCS,IPV Enquiry Result,"Results of intimate partner violence enquiry","ValueSet/ipv-enquiry-result-vs"
http://fhir.et/surveillance/CodeSystem/mycoplasma-genitalium-test-type-cs,0.1.0,active,,MycoplasmaGenitaliumTestTypeCS,Mycoplasma genitalium Test Type Code System,"Codes for Mycoplasma genitalium test types","ValueSet/mycoplasma-genitalium-test-type-vs"
http://fhir.et/surveillance/CodeSystem/neisseria-gonorrhoeae-test-type-cs,0.1.0,active,,NeisseriaGonorrhoeaeTestTypeCS,Neisseria gonorrhoeae Test Type Code System,"Codes for Neisseria gonorrhoeae test types","ValueSet/neisseria-gonorrhoeae-test-type-vs"
http://fhir.et/surveillance/CodeSystem/srh-integrated-services-cs,0.1.0,active,,SRHIntegratedServicesCS,Sexual and Reproductive Health Integrated Services,"Types of SRH integrated services provided","ValueSet/srh-integrated-services-vs"
http://fhir.et/surveillance/CodeSystem/sti-result-cs,0.1.0,draft,,STIResultCS,STI Test Result CodeSystem,"Codes for STI test results","ValueSet/sti-result-vs"
http://fhir.et/surveillance/CodeSystem/sti-syndrome-cs,0.1.0,draft,,STISyndromeCS,Syndrome/STI Codes,"Code system of Syndrome/STI codes.","ValueSet/sti-syndrome-vs"
http://fhir.et/surveillance/CodeSystem/sti-test-type-cs,0.1.0,draft,,STITestTypeCS,STI Test Types,"Code system of STI Test Types codes.","ValueSet/sti-test-type-vs"
http://fhir.et/surveillance/CodeSystem/syphilis-confirmatory-test-type-cs,0.1.0,draft,,SyphilisConfirmatoryTestTypeCS,Confirmatory Syphilis Test Type CodeSystem,"Codes for confirmatory syphilis test types","ValueSet/syphilis-confirmatory-test-type-vs"
http://fhir.et/surveillance/CodeSystem/syphilis-test-result-cs,0.1.0,draft,,SyphilisTestResultCS,Syphilis Test Result Codes,"Code system of Syphilis Test Result codes.","ValueSet/syphilis-test-result-vs"
http://fhir.et/surveillance/CodeSystem/syphilis-test-type-cs,0.1.0,active,,SyphilisTestTypeCS,Syphilis Test Type Code System,"Codes for syphilis test types","ValueSet/syphilis-test-type-vs"
http://fhir.et/surveillance/CodeSystem/trichomonas-vaginalis-test-type-cs,0.1.0,active,,TrichomonasVaginalisTestTypeCS,Trichomonas vaginalis Test Type Code System,"Codes for Trichomonas vaginalis test types","ValueSet/trichomonas-vaginalis-test-type-vs"
http://fhir.et/surveillance/CodeSystem/vmmc-adverse-event-severity-cs,0.1.0,draft,,VMMCAdverseEventSeverityCS,VMMC Adverse Event Severity Codes,"Code system of VMMC Adverse Event Severity codes.","ValueSet/vmmc-adverse-event-severity-vs"
http://fhir.et/surveillance/CodeSystem/vmmc-adverse-event-timing-cs,0.1.0,draft,,VMMCAdverseEventTimingCS,Timing of Adverse Event,"Code system of Timing of Adverse Event codes.","ValueSet/vmmc-adverse-event-timing-vs"
